,,,,,,,
,,,,,,,
,,,,,,,
CVE_ENT,Entidad federativa,Gran sector y tamaño del establecimiento,Población inicial1,Nacimientos2,Muertes2,Población actual2,
31,Yucatán,Comercio, 42 805, 6 101, 8 415, 40 491,
31,Yucatán,Micro, 41 733, 6 053, 8 244, 39 541,
31,Yucatán,PyME´s, 1 072,  48,  171,  949,
31,Yucatán,Servicios Privados no Financieros, 47 523, 5 644, 12 397, 40 770,
31,Yucatán,Micro, 45 672, 5 567, 11 886, 39 353,
31,Yucatán,PyME´s, 1 851,  77,  511, 1 417,
32,Zacatecas,Total, 61 433, 7 219, 12 805, 55 847,
32,Zacatecas,Micro, 60 112, 7 211, 12 505, 54 818,
32,Zacatecas,PyME´s, 1 321,  8,  299, 1 029,
32,Zacatecas,Manufacturas, 6 422,  745, 1 043, 6 124,
32,Zacatecas,Micro, 6 283,  745, 1 025, 6 003,
32,Zacatecas,PyME´s,  139,  0,  18,  121,
32,Zacatecas,Comercio, 30 595, 3 644, 5 537, 28 702,
32,Zacatecas,Micro, 29 943, 3 636, 5 390, 28 189,
32,Zacatecas,PyME´s,  652,  8,  147,  513,
32,Zacatecas,Servicios Privados no Financieros, 24 416, 2 830, 6 225, 21 021,
32,Zacatecas,Micro, 23 886, 2 830, 6 091, 20 626,
32,Zacatecas,PyME´s,  530,  0,  134,  396,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
